Gene,CTL_1,CTL_2,TGFb_1,TGFb_2
RBM33,9.811116769,9.963610666,9.696878298,9.466298854
HS.544193,6.683016213,6.414763973,6.402599063,6.396367971
HS.48447,6.583189021,6.746402906,6.302133464,6.247969946
BCL2L2,9.927999673,9.696321067,9.815560534,9.911114095
HERC2,9.317366076,9.11238355,9.20260827,9.368670007
XIST,6.800879704,6.93042951,6.528122516,6.767486515
WBP4,9.617198389,9.511524919,9.501417235,9.404737592
MED11,7.059434979,6.979486158,6.821859053,6.819992579
CHEK1,10.84736633,10.69483664,10.70519713,10.71833345
C16ORF5,7.277240967,7.203991715,7.075524864,7.384834708
LOC284948,6.72789739,6.485658516,6.447643213,6.44681295
HIST1H2BC,6.899719578,6.728701025,6.639133066,6.857627199
ZSWIM3,7.245020835,7.162041005,7.039226663,7.341573861
PIGU,9.30092031,9.245957935,9.186703561,8.940933468
LOC154872,6.657450458,6.404973192,6.377272934,6.516546549
PPP1R1A,6.668794479,6.243954166,6.388917112,6.59262182
HS.543364,6.843327859,6.690527894,6.573848797,6.776051367
