Gene	CTL_1	CTL_2	TGFb_1	TGFb_2
CCRN4L	669.6116	474.5879	625.8617	444.4678
FRMD7	89.7896	68.94337	83.92179	80.97887
ZKSCAN1	203.954	179.5797	190.6221	221.198
MED8	552.7229	446.5609	516.5859	446.3583
CDRT4	1109.964	923.2548	1037.388	883.0566
HS.463996	134.985	109.0221	126.1575	107.7447
BTNL9	160.3406	116.4812	149.8547	116.2553
HS.543804	101.8754	91.94914	95.21284	86.68463
G6PC3	1046.38	931.394	977.9361	816.6301
LOC643231	96.30601	89.12168	90.00597	79.15107
DKFZP781N1041	116.2002	99.53364	108.5982	92.96696
SPANXC	8145.042	6607.013	7612.17	6462.453
ELK4	161.3756	132.0395	150.8176	132.3964
LOC93463	109.6854	100.3739	102.5091	91.37433
STK17A	150.2981	144.4939	140.4644	129.3951
LOC401589	112.3896	102.6023	105.0357	96.4043
LOC651577	110.3369	82.34123	103.1172	94.26828
SPIC	90.83578	90.25105	84.89183	81.56438
SLC13A5	102.4146	86.69724	95.71263	89.92407
LOC730455	1261.961	1116.686	1179.365	975.5729
LOC653158	328.5883	282.2629	307.0746	263.7933
LOC651868	110.6479	92.13026	103.4033	113.0661
LOC727935	253.6297	226.6198	237.0209	209.4218
LOC387761	112.1426	83.4216	104.7988	79.45155
RXRG	109.3786	89.48397	102.2138	87.85296
EFR3A	3341.098	3070.793	3122.235	3413.712
LOC647359	129.9019	123.959	121.3912	105.9644
BZW2	1678.315	1737.836	1568.357	1416.127
HMX1	121.0263	104.2068	113.095	94.29038
DIO1	89.80341	74.24689	83.91783	74.63833
C8ORF48	178.8723	139.6576	167.1483	129.6957
HS.562776	123.1191	96.50709	115.0488	110.9625
LFNG	585.8346	798.1069	547.4161	673.6759
UNC93A	102.603	85.70942	95.87377	88.86782
HS.582668	97.79999	89.26425	91.3844	88.92952
CKMT2	102.4256	85.42928	95.70596	77.49496
TRIM48	111.6293	81.59704	104.3054	87.14236
SLC35B4	252.9983	249.3363	236.398	230.5513
GHR	98.32239	91.23126	91.87077	87.66763
TRIM16	139.5405	107.6537	130.3832	97.26041
HS.126664	93.36224	98.53676	87.23508	83.97629
HS.578498	106.6353	83.35088	99.63686	90.97162
HS.491339	131.8868	122.7462	123.2311	114.0412
LOC653866	110.7159	85.74407	103.4487	87.48444
IRAK1BP1	128.0784	113.7392	119.671	114.898
HS.164225	92.40559	84.07344	86.33919	89.4766
BXDC1	2492.426	2109.86	2328.795	2018.485
CORO1B	1799.042	1556.053	1680.928	1577.79
NUDT6	264.3644	234.1734	247.0051	215.9453
LOC644994	105.6766	87.24751	98.73677	93.47865
PLIN	105.1862	90.68825	98.27685	84.37481
LOC283152	113.2897	97.06367	105.8477	101.9344
LOC645378	141.5124	113.2186	132.2164	108.847
HS.582798	95.1476	75.95316	88.89688	80.58405
HS.541685	127.9279	101.0492	119.5231	117.3496
LAMC3	83.97927	78.53864	78.46174	76.01286
LOC643850	110.4792	106.1873	103.2195	90.53906
HS.112825	101.7914	89.34705	95.10168	83.63403
LOC652651	111.0891	86.7025	103.7883	87.04163
IL1RN	117.8512	103.5479	110.1051	96.92081
IFT140	175.6253	160.5093	164.0789	145.3874
HS.552289	100.1533	82.73679	93.56813	91.73521
HS.134828	101.6695	104.0953	94.98443	88.14778
HS.543390	103.6797	105.613	96.86162	105.5203
CYP2D6	103.1543	93.65199	96.3707	87.44347
HS.446289	82.65537	74.48632	77.21895	72.2681
HS.539720	114.9936	101.4431	107.4302	98.96582
CA7	95.90749	84.42873	89.59859	83.73552
HS.584572	104.045	103.8288	97.19896	81.98286
MLXIP	106.1956	97.77314	99.20791	88.48952
CCDC38	99.23061	87.1228	92.70056	74.26987
PTPRJ	155.3887	139.2374	145.1626	104.2439
CYHR1	180.7812	184.7081	168.882	171.9588
KIAA1704	116.7031	100.9215	109.0208	96.50581
NCBP2	1157.989	985.7188	1081.758	1164.552
GAB1	126.37	104.8218	118.0503	98.60958
KIAA0494	1536.288	1337.787	1435.14	1281.43
